Customer ID,Customer Name,Email,Age,Gender,City,State,Signup Date,Income,Purchase Count,Total Spent,Satisfaction Score
CUST000138,Josué Rios, josue.rios@mail.com ,18.0,M,Duque de Caxias,RJ ,20/10/2022,2383,7,"R$ 1.973,00",4.2
CUST002343,Sr. Arthur Miguel Rios,sr..arthur.miguel.rios@provedor.com.br,39.0,Masc,Vitória da Conquista,BA ,2023-11-18,"R$ 3.401,00",5,1.245,5.0
CUST002086,Valentim Casa Grande,valentim.casa.grande@webmail.com,37.0,male,Ananindeua,Para,2024/01/21,"R$ 4.538,00",5,"R$ 1.534,00",3.7
CUST001872,Antônio Cirino,antonio.cirino@mail.com,,masc,Blumenau,sc,2023/01/01,"R$ 4.430,00",9,1741,3.4
CUST003832,sarah brito,sarah.brito@mail.com,27.0,Feminino,Sorocaba,Sao Paulo,16/06/2024,2.854,11,3.422,3.4
CUST004791,LAVÍNIA CAVALCANTI,LAVINIA.CAVALCANTI@PROVEDOR.COM.BR,63.0,F,Sorocaba,SP,2023/02/25,5365,3,792,3.8
CUST003025,VICENTE CORREIA,vicente.correia@correio.net,33.0,Masc,Rio de Janeiro,RJ,07/10/2025,3753,6,965,3.9
CUST000078,Maria Luísa Correia,maria.luisa.correia@email.com,20.0,Feminino,Campinas,Sao Paulo,2022/02/15,2.408,5,"R$ 1.058,00",4.0
CUST003303,MARIA ALICE CAVALCANTI, maria.alice.cavalcanti@provedor.com.br ,33.0,fem,Uberlândia,mg,2024/02/10,1946,6,"R$ 467,00",2.9
CUST004835,daniel silveira,daniel.silveira@correio.net,31.0,M,Duque de Caxias,Rio De Janeiro,2025/02/03,1.775,6,1830,
CUST000941,srta. maria julia dias,srta. .maria.julia.dias@correio.net,49.0,FEMININO,Blumenau,sc,2023/12/16,4256,7,1386,4.7
CUST003663,Agatha Aragão,agatha.aragao@correio.net,18.0,female,Salvador,BA ,09/06/2023,1403,3,874,4.8
CUST004747,Luan Freitas, luan.freitas@email.com ,53.0,MASCULINO,Rio Verde,Goiás,2025/02/28,4305,5,1894,3.9
CUST005056,SRTA. VITÓRIA ALMEIDA,srta..vitoria.almeida@mail.com,37.0,Feminino,Ribeirão Preto,SP,25/07/2024,"R$ 3.691,00",8,"R$ 1.180,00",4.2
CUST004998,sr. enrico sá,sr..enrico.sa@webmail.com,18.0,masc,Pelotas,rio grande do sul,2024-07-23,,6,"R$ 1.803,00",3.8
CUST002181,leonardo porto,leonardo.porto@provedor.com.br,78.0,M,Ribeirão Preto,SÃO PAULO,2025-03-08,3027,3,721,2.6
CUST001426,Maria Clara Silva,maria.clara.silva@mail.com,50.0,FEMININO,Contagem,Minas Gerais,21-02-2023,3.077,7,1523,3.4
CUST002631,Dr. Murilo Fogaça,DR..MURILO.FOGACA@EMAIL.COM,47.0,M,São Paulo,sp,05/02/2024,3.314,6,1162,3.6
CUST002549,KAIQUE PORTO, kaique.porto@webmail.com ,29.0,Masculino,Juazeiro do Norte,ce,2022-08-12,2230,2,"R$ 444,00",2.8
CUST002834,ana sophia novaes,ANA.SOPHIA.NOVAES@EMAIL.COM,,Fem,Brasília,Distrito Federal,2025-04-13,"R$ 3.914,00",7,1.602,5.0
CUST000745,Lunna Ribeiro,LUNNA.RIBEIRO@PROVEDOR.COM.BR,40.0,Fem,Ananindeua,Para,04-06-2024,"R$ 2.276,00",3,844,4.2
CUST002069,joão gabriel jesus,joao.gabriel.jesus@provedor.com.br,52.0,Masculino,Rio de Janeiro,RJ ,2024/06/22,3.398,7,"R$ 2.139,00",4.9
CUST003617,Vitória Moraes,vitoria.moraes@email.com,41.0,fem,Ananindeua,Pará,2024/01/10,3.672,5,1157,4.0
CUST002378,HENRY AZEVEDO,HENRY.AZEVEDO@WEBMAIL.COM,18.0,masc,,bahia,2023-03-03,1.549,5,"R$ 1.078,00",3.8
CUST002588,Otávio Sales,OTAVIO.SALES@PROVEDOR.COM.BR,37.0,M,Recife,Pernambuco,09/10/2023,3.444,4,1.236,3.4
CUST003335,Igor Montenegro,IGOR.MONTENEGRO@EMAIL.COM,34.0,masc,Florianópolis,SC,2025-04-12,7.161,8,"R$ 2.708,00",3.8
CUST001705,MARIA HELENA FERREIRA,MARIA.HELENA.FERREIRA@CORREIO.NET,18.0,fem,São Paulo,SÃO PAULO,2025/09/17,"R$ 5.271,00",4,1.303,3.2
CUST000894,Noah Carvalho,NOAH.CARVALHO@MAIL.COM,48.0,MASCULINO,Santos,São Paulo,11/08/2023,5243,10,"R$ 3.234,00",3.7
CUST004500,joão miguel da rosa,joao.miguel.da.rosa@provedor.com.br,35.0,Masc,Caxias do Sul,rs,2024-12-08,3.279,8,2114,5.0
CUST002344,Juliana Cassiano,juliana.cassiano@webmail.com,27.0,F,Petrópolis,Rio de Janeiro,24/04/2024,1946,8,1402,3.7
CUST002965,Larissa Cunha,larissa.cunha@mail.com,31.0,Fem,Pelotas,Rio Grande do Sul,05-11-2024,3.955,5,"R$ 1.343,00",2.5
CUST002777,GUSTAVO CORREIA,gustavo.correia@email.com,,male,Londrina,PR,2024-01-21,7.901,14,2438,2.8
CUST002357,Srta. Letícia Sampaio,SRTA..LETICIA.SAMPAIO@PROVEDOR.COM.BR,55.0,Feminino,Juazeiro do Norte,Ceará,25/11/2023,"R$ 5.596,00",5,"R$ 1.164,00",4.5
CUST000354,Dr. Mateus Gomes,dr..mateus.gomes@webmail.com,44.0,masc,Pelotas,Rio Grande do Sul,2021/07/21,6.611,3,1.144,
CUST002061,IGOR RODRIGUES,igor.rodrigues@email.com,39.0,M,Uberlândia,mg,02/06/2023,"R$ 3.636,00",8,2325,
CUST002532,aurora cunha,aurora.cunha@correio.net,25.0,Feminino,,Pará,13-05-2025,191780,7,2721,3.5
CUST002382,Hadassa Teixeira, hadassa.teixeira@provedor.com.br ,35.0,F,Sorocaba,Sao Paulo,10-06-2025,"R$ 2.482,00",6,1.493,4.7
CUST001748,Heloisa Pereira,heloisa.pereira@provedor.com.br,39.0,Feminino,Duque de Caxias,Rio de Janeiro,2023-08-18,1809,7,2.179,4.6
CUST002899,Juliana Ramos,JULIANA.RAMOS@MAIL.COM,36.0,FEMININO,Uberlândia,mg,2024/08/31,"R$ 1.787,00",5,1.199,4.2
CUST003166,Ester Abreu,ESTER.ABREU@PROVEDOR.COM.BR,35.0,fem,Porto Alegre,Rio Grande do Sul,24/01/2022,3.076,7,"R$ 1.384,00",4.9
CUST001084,Agatha Lima,agatha. lima@correio.net,28.0,F,Duque de Caxias,Rio De Janeiro,06/07/2023,"R$ 1.226,00",8,"R$ 1.367,00",3.0
CUST002201,vitor barros,VITOR.BARROS@WEBMAIL.COM,41.0,masc,Sobral,ce,2024-10-11,2.208,5,835,3.2
CUST003264,GABRIELLY DAS NEVES,gabrielly.das.neves@provedor.com.br,31.0,Fem,Duque de Caxias,RJ ,21-12-2023,1905,9,"R$ 1.701,00",4.1
CUST003593,Sophie Rodrigues,SOPHIE.RODRIGUES@MAIL.COM,28.0,FEMININO,Juazeiro do Norte,Ceara,2023/08/22,3381,7,"R$ 1.106,00",3.4
CUST004005,marcelo casa grande,marcelo.casa.grande@correio.net,39.0,masc,Caruaru,PE,25/04/2023,1269,2,103.551,3.9
CUST003176,antônio rocha,antonio. rocha@provedor.com.br,28.0,Masc,Santos,SÃO PAULO,2023-09-07,"R$ 2.366,00",11,"R$ 3.083,00",3.9
CUST003960,kamilly barros,kamilly. barros@provedor.com.br,36.0,fem,Santos,SÃO PAULO,2024/03/08,"R$ 1.145,00",2,186,4.6
CUST002047,Srta. Ágatha Rodrigues,SRTA..AGATHA.RODRIGUES@PROVEDOR.COM.BR,35.0,fem,Uberlândia,Minas Gerais,12-11-2024,"R$ 1.899,00",8,"R$ 1.293,00",2.7
CUST002283,Apollo da Paz,apollo.da.paz@mail.com,,male,Cuiabá,MT,2025-02-10,4027,7,2.156,3.1
CUST005057,luan araújo,luan. araujo@mail.com,37.0,M,Juiz de Fora,minas gerais,2024/09/02,1.612,6,"R$ 1.108,00",5.0
CUST004177,Ana Laura da Mata,ANA.LAURA.DA.MATA@PROVEDOR.COM.BR,35.0,FEMININO,Salvador,BA,25/07/2023,"R$ 2.469,00",6,977,2.3
CUST003420,Ana Luiza Fernandes,ANA.LUIZA.FERNANDES@WEBMAIL.COM,39.0,Fem,Santos,sp,2025/05/20,5679,5,"R$ 1.375,00",3.6
CUST000101,anna liz cirino,anna.liz.cirino@email.com,18.0,Fem,Vitória,ES,23-01-2024,"R$ 3.398,00",8,1.508,4.5
CUST000210,Raquel Câmara,raquel.camara@provedor.com.br,26.0,Fem,Belém,PA,2024-03-24,6.227,10,"R$ 2.437,00",4.6
CUST003388,Matheus Lima,matheus.lima@webmail.com,31.0,masc,Londrina,PR,2023-02-27,1754,3,851,3.5
CUST000371,benjamin da rocha,benjamin.da.rocha@correio.net,34.0,Masculino,Salvador,BA ,16/09/2024,"R$ 4.268,00",6,"R$ 1.264,00",5.0
CUST001117,ana sophia moura,ANA.SOPHIA.MOURA@WEBMAIL.COM,-5.0,prefer not to say,Joinville,SC,2022/06/20,2530,5,"R$ 1.360,00",2.8
CUST001790,Luan Fonseca,luan.fonseca@provedor.com.br,46.0,masc,Sobral,Ceara,2024/04/09,"R$ 8.473,00",10,3976,3.5
CUST004940,Kamilly Nascimento, kamilly.nascimento@correio.net ,29.0,female,,rs,10-11-2023,,6,1006,4.8
CUST003733,alícia camargo,ALICIA.CAMARGO@EMAIL.COM,150.0,fem,Petrópolis,Rio De Janeiro,13/03/2024,,7,"R$ 2.077,00",3.0
CUST001788,Anthony Gabriel Rocha,anthony.gabriel.rocha@correio.net,27.0,MASCULINO,Porto Alegre,rs,2022-01-20,"R$ 5.117,00",9,"R$ 2.463,00",4.3
CUST002282,João Vitor Sousa, joao.vitor.sousa@mail.com ,27.0,Masculino,Feira de Santana,BA,15/03/2024,1941,8,"R$ 1.299,00",5.0
CUST004992,pedro miguel souza, pedro.miguel.souza@webmail.com ,37.0,MASCULINO,Manaus,Amazonas,31-10-2025,5793,7,"R$ 2.256,00",4.9
CUST003412,Theodoro Camargo,theodoro.camargo@webmail.com,42.0,M,Campinas,SÃO PAULO,15/12/2023,5.261,4,859,2.9
CUST001885,Sr. Matheus Vargas, sr..matheus.vargas@webmail.com ,42.0,M,Juazeiro do Norte,Ceará,26-08-2021,4927,3,691,4.6
CUST002526,Evelyn Mendonça,EVELYN.MENDONCA@WEBMAIL.COM,44.0,Fem,Brasília,distrito federal,24-12-2024,2005,3,790,4.4
CUST000103,MARIA LUIZA CAMPOS,maria.luiza.campos@mail.com,27.0,FEMININO,Florianópolis,santa catarina,13/12/2023,,6,1565,4.0
CUST000542,Maitê Rocha,maite. rocha@correio.net,49.0,female,Joinville,SC,2024/05/21,4.303,5,1417,2.3
CUST000992,José Pedro Câmara, jose.pedro.camara@email.com ,49.0,masc,Ribeirão Preto,São Paulo,2023/02/27,"R$ 3.143,00",6,925,3.9
CUST003695,Eduarda Oliveira,eduarda.oliveira@correio.net,18.0,fem,Duque de Caxias,rio de janeiro,2021-03-18,3.571,9,"R$ 946,00",3.4
CUST000053,Daniela Freitas,DANIELA.FREITAS@WEBMAIL.COM,38.0,F,Pelotas,Rio Grande do Sul,27/01/2022,3.259,4,"R$ 1.597,00",3.1
CUST003709,nicolas pimenta,NICOLAS.PIMENTA@CORREIO.NET,49.0,male,Brasília,distrito federal,2025-01-29,4.115,8,"R$ 1.657,00",4.4
CUST001217,Arthur Gabriel Pimenta, arthur.gabriel.pimenta@email.com ,44.0,M,Juiz de Fora,mg,2024/06/03,"R$ 3.790,00",5,663,3.3
CUST001615,Ana Júlia Sá,ana.julia.sa@webmail.com,82.0,FEMININO,Anápolis,Goias,2024-07-10,"R$ 3.967,00",10,"R$ 2.401,00",4.9
CUST002291,Joana Viana,JOANA.VIANA@MAIL.COM,,F,Contagem,minas gerais,2024-05-24,4.812,4,871,4.9
CUST003802,SR. ERICK MONTENEGRO,sr. .erick.montenegro@mail.com,,Masc,Recife,PE,23-02-2023,,8,1.814,4.1
CUST003472,Otávio Dias,otavio. dias@webmail.com,,male,Belo Horizonte,MG,2022-01-21,2.943,7,2.268,
CUST003000,Asafe Moreira,asafe. moreira@provedor.com.br,48.0,M,Caruaru,pernambuco,06/07/2023,"R$ 1.943,00",9,1.896,4.0
CUST004416,Dr. Calebe da Conceição,dr..calebe.da.conceicao@webmail.com,28.0,masc,Juazeiro do Norte,Ceara,2024-04-03,1.425,10,3067,3.6
CUST000361,ANA VITÓRIA MELO,ANA.VITORIA.MELO@WEBMAIL.COM,53.0,female,Vitória da Conquista,BA ,2024/04/27,"R$ 4.069,00",10,"R$ 2.483,00",4.6
CUST000591,Camila Aragão,CAMILA.ARAGAO@CORREIO.NET,33.0,Feminino,Campinas,São Paulo,08-12-2021,"R$ 3.670,00",11,2.372,
CUST002234,Maria Julia Pimenta,maria. julia.pimenta@correio.net,28.0,FEMININO,Maringá,Paraná,2024/02/03,"R$ 4.034,00",3,"R$ 863,00",3.6
CUST002131,LUIZA DA LUZ, luiza.da.luz@webmail.com ,39.0,Feminino,Rio Verde,go,06/07/2024,3.450,7,"R$ 1.810,00",3.9
CUST003378,André Albuquerque,andre.albuquerque@correio.net,44.0,male,Várzea Grande,MT,01/05/2025,3327,6,"R$ 549,00",5.0
CUST003338,Mariane Sá,mariane.sa@email.com,50.0,F,,Santa Catarina,08-11-2022,"R$ 2.526,00",5,"R$ 1.313,00",2.8
CUST004335,Isis Viana, isis.viana@email.com ,42.0,fem,Vitória da Conquista,bahia,12/10/2023,"R$ 3.623,00",8,2.247,4.6
CUST001259,Agatha Sampaio, agatha.sampaio@webmail.com ,60.0,F,Florianópolis,sc,2024-04-23,2.462,6,"R$ 976,00",3.2
CUST002693,Murilo da Cunha,murilo. da.cunha@provedor.com.br,25.0,MASCULINO,Curitiba,Parana,04-04-2024,3020,8,"R$ 2.026,00",3.8
CUST004376,Sr. Vinícius Aragão,sr. .vinicius.aragao@correio.net,31.0,Masculino,Sorocaba,sp,2024/01/22,"R$ 1.879,00",5,"R$ 1.030,00",3.0
CUST004094,Dr. Thales Costela,dr..thales.costela@webmail.com,39.0,M,Pelotas,Rio Grande do Sul,2023-10-29,3.320,14,"R$ 3.686,00",2.7
CUST004868,natália nunes,NATALIA.NUNES@CORREIO.NET,53.0,FEMININO,Belém,PA,2022-07-17,2.976,6,"R$ 1.691,00",3.7
CUST003610,Raquel Araújo,raquel.araujo@correio.net,41.0,N/I,,Sao Paulo,18/12/2022,"R$ 5.832,00",13,5.935,4.1
CUST000251,Thales Duarte,THALES.DUARTE@PROVEDOR.COM.BR,36.0,Masculino,Ribeirão Preto,Sao Paulo,02-06-2023,"R$ 2.151,00",5,"R$ 243,00",3.7
CUST001743,Sra. Maria Luiza Pastor,sra..maria.luiza.pastor@correio.net,46.0,fem,Manaus,amazonas,01/12/2023,"R$ 5.330,00",7,1.661,2.6
CUST002006,Guilherme Rodrigues,guilherme.rodrigues@provedor.com.br,46.0,M,Blumenau,sc,11-02-2025,2848,10,"R$ 1.850,00",
CUST004417,Thales Fernandes,thales.fernandes@provedor.com.br,48.0,male,Goiânia,go,19-07-2023,4698,6,1.375,3.4
CUST001851,luiz otávio jesus,luiz.otavio.jesus@provedor.com.br,54.0,N/I,Sorocaba,sp,2022-06-18,3434,9,1.469,2.9
CUST001719,Maria Sophia Novaes, maria.sophia.novaes@correio.net ,33.0,FEMININO,,Mato Grosso,2023/07/28,"R$ 212.277,00",3,1.044,4.1
CUST001262,Liam Pimenta,liam.pimenta@correio.net,44.0,MASCULINO,Campinas,SÃO PAULO,03/03/2022,2.639,8,2355,4.0
CUST004046,CLARA SÁ,clara. sa@email.com,66.0,Feminino,Várzea Grande,mato grosso,30-11-2024,,7,2442,4.1
CUST003309,André Aragão,andre. aragao@provedor.com.br,48.0,M,Petrópolis,Rio de Janeiro,2023/09/09,2402,6,1.131,3.5
CUST002800,LUIZA SANTOS,luiza.santos@provedor.com.br,31.0,female,Feira de Santana,BA,01-11-2025,4.004,13,1.274,3.1
CUST004338,MELINA MARTINS, melina.martins@mail.com ,43.0,Fem,Sorocaba,SP,27/06/2022,2.569,6,1487,4.2
CUST003306,Srta. Stephany Ramos,srta..stephany.ramos@email.com,53.0,Fem,Goiânia,Goiás,15-01-2023,5.274,7,1.723,3.4
CUST003212,Léo Monteiro,leo.monteiro@mail.com,35.0,male,Campinas,São Paulo,2025-12-02,"R$ 2.411,00",7,755,4.6
CUST004509,Matteo Correia,matteo.correia@webmail.com,43.0,Masc,Curitiba,PR,19-08-2023,2583,9,"R$ 1.042,00",4.4
CUST001057,Cecilia Viana, cecilia.viana@mail.com ,44.0,female,São Paulo,SP,27/05/2024,4803,9,3031,4.5
CUST004363,Lucas Gabriel Jesus,lucas.gabriel.jesus@correio.net,20.0,MASCULINO,Fortaleza,CE,2024/03/28,4.731,4,1.039,3.9
CUST003536,LETÍCIA FONSECA,leticia.fonseca@mail.com,35.0,fem,Curitiba,Paraná,2021-10-29,3.454,6,"R$ 2.711,00",4.4
CUST003298,Allana Pereira,allana. pereira@mail.com,,FEMININO,Petrópolis,RJ ,2023/11/08,3.395,5,"R$ 1.009,00",5.0
CUST004450,srta. isabelly carvalho,srta..isabelly.carvalho@provedor.com.br,18.0,Feminino,Londrina,pr,2022/07/10,"R$ 1.383,00",9,1450,2.6
CUST004024,VITOR MOURA,vitor. moura@email.com,33.0,masc,Juiz de Fora,minas gerais,2025/07/14,"R$ 2.848,00",7,"R$ 1.684,00",4.5
CUST000490,maria vitória da mata,maria.vitoria.da.mata@mail.com,45.0,Feminino,Duque de Caxias,RJ,05/05/2022,"R$ 2.997,00",7,1.337,2.8
CUST003540,Yasmin Macedo,yasmin.macedo@webmail.com,18.0,F,Campinas,Sao Paulo,26-07-2023,"R$ 3.076,00",9,2251,1.6
CUST000027,Enrico Martins, enrico.martins@webmail.com ,43.0,M,Contagem,mg,12-03-2022,2.681,4,"R$ 1.069,00",4.7
CUST001541,Sr. Mathias da Costa,SR..MATHIAS.DA.COSTA@EMAIL.COM,37.0,M,Anápolis,Goias,11-04-2022,2387,3,650,4.5
CUST001500,henry abreu,HENRY.ABREU@CORREIO.NET,21.0,MASCULINO,Caxias do Sul,Rio Grande do Sul,10-04-2024,4.490,9,1719,3.4
CUST003062,Ravi Pinto,ravi. pinto@correio.net,38.0,Masculino,Campinas,sp,2023/09/04,6.572,10,2454,2.4
CUST004461,Isaac Porto,isaac.porto@provedor.com.br,30.0,M,Duque de Caxias,RJ ,2023-11-25,2.404,7,1604,4.8
CUST001157,dr. henry gabriel duarte, dr..henry.gabriel.duarte@correio.net ,44.0,M,Caxias do Sul,rs,2023-10-06,"R$ 5.843,00",6,"R$ 2.221,00",4.0
CUST000907,José Fogaça,jose.fogaca@provedor.com.br,36.0,Masculino,Ananindeua,Pará,16-10-2024,2.562,3,"R$ 714,00",3.6
CUST003157,dr. ravi lucca peixoto, dr..ravi.lucca.peixoto@email.com ,34.0,M,Belo Horizonte,Minas Gerais,2024-05-09,"R$ 5.903,00",13,4680,3.8
CUST003757,Vitória Farias,VITORIA.FARIAS@PROVEDOR.COM.BR,42.0,Feminino,Caxias do Sul,rs,21/03/2022,"R$ 3.033,00",7,969,3.8
CUST002727,SRA. ISABELA LIMA,sra..isabela.lima@correio.net,38.0,N/I,Parintins,amazonas,2023/05/31,4.737,9,2320,3.9
CUST000370,Sra. Ana Aparecida, sra..ana.aparecida@provedor.com.br ,29.0,Fem,Brasília,distrito federal,01/11/2022,,10,1.840,5.0
CUST004588,Marcos Vinicius Vasconcelos,marcos.vinicius.vasconcelos@email.com,27.0,Masculino,,Para,06/10/2022,1.631,9,1528,5.0
CUST004160,Ravi Nogueira,RAVI.NOGUEIRA@EMAIL.COM,18.0,Masc,Juazeiro do Norte,Ceará,2024-05-01,"R$ 4.772,00",10,3282,3.5
CUST000768,André Novaes,andre.novaes@provedor.com.br,55.0,Masculino,Maringá,Paraná,07-01-2023,,5,"R$ 693,00",4.8
CUST004183,thales carvalho,thales.carvalho@provedor.com.br,40.0,Masc,Vitória da Conquista,BA,2022-12-09,2.639,7,1.661,4.2
CUST000168,OTTO RIOS,otto.rios@email.com,35.0,Masculino,Ribeirão Preto,sp,2024-01-06,2.031,4,1.012,4.0
CUST001629,Pedro Henrique da Mota,pedro.henrique.da.mota@correio.net,48.0,Masc,Petrópolis,rio de janeiro,2022/10/14,2.239,6,2.015,2.6
CUST002079,stella nascimento,stella.nascimento@mail.com,42.0,FEMININO,Santos,sp,2022-08-29,5.811,5,132.408,3.3
CUST002772,Clarice Borges,CLARICE.BORGES@EMAIL.COM,54.0,Feminino,Pelotas,RS,17/05/2025,1357,4,667,4.7
CUST001933,Raquel Correia,raquel.correia@mail.com,21.0,female,Santos,SÃO PAULO,2023/06/13,,2,343,4.9
CUST004937,DR. RYAN DA CRUZ,dr. .ryan.da.cruz@mail.com,30.0,masc,Santos,SÃO PAULO,2023-09-13,4633,4,994,5.0
CUST004463,Srta. Letícia da Conceição,srta..leticia.da.conceicao@correio.net,37.0,female,,Ceará,2022-05-01,"R$ 1.960,00",8,"R$ 1.756,00",4.7
CUST002902,Dr. Antônio Castro, dr..antonio.castro@provedor.com.br ,50.0,masc,Brasília,distrito federal,2022-10-31,2712,7,"R$ 2.322,00",4.0
CUST000863,isabelly da cunha,isabelly. da.cunha@email.com,25.0,prefer not to say,Ribeirão Preto,SP,18-08-2022,2035,7,1381,5.0
CUST000645,Miguel Dias,miguel. dias@mail.com,61.0,MASCULINO,Rio de Janeiro,Rio De Janeiro,2024/02/03,4.518,10,"R$ 2.386,00",4.6
CUST003175,felipe da luz,felipe.da.luz@email.com,29.0,Não binário,Porto Alegre,RS,2021/03/19,2.114,8,"R$ 1.697,00",2.3
CUST004564,AYLLA ARAÚJO, aylla.araujo@provedor.com.br ,37.0,FEMININO,Anápolis,Goiás,2024-02-28,3.527,14,3.578,4.1
CUST000576,Sophie Casa Grande,sophie.casa.grande@provedor.com.br,52.0,Fem,Feira de Santana,Bahia,2022-08-04,3.702,7,1604,3.4
CUST002921,Dante Novais,dante.novais@provedor.com.br,31.0,Masculino,Fortaleza,Ceará,17/09/2021,"R$ 4.111,00",9,2.009,
CUST001645,Theodoro Moraes,THEODORO.MORAES@EMAIL.COM,18.0,M,Serra,es,10/09/2025,3538,19,890,3.0
CUST001322,Anthony Gabriel Viana,ANTHONY.GABRIEL.VIANA@PROVEDOR.COM.BR,29.0,Masc,,sp,2021/05/03,"R$ 3.273,00",6,1.250,4.2
CUST003754,Lívia Campos,LIVIA.CAMPOS@EMAIL.COM,31.0,Fem,Pelotas,RS,15/07/2024,2.791,8,1.510,4.7
CUST003139,Bernardo Pastor,bernardo.pastor@email.com,32.0,M,Manaus,amazonas,2024/09/05,2723,8,1963,3.7
CUST000789,caio guerra,caio.guerra@provedor.com.br,58.0,male,Duque de Caxias,Rio De Janeiro,11/06/2024,,11,2726,4.6
CUST003524,Antônio Gonçalves, antonio.goncalves@provedor.com.br ,33.0,MASCULINO,,SÃO PAULO,2023/03/02,"R$ 1.665,00",8,1.733,4.7
CUST004816,gabriela duarte, gabriela.duarte@mail.com ,50.0,Feminino,Salvador,Bahia,15/09/2022,3.386,6,1.366,3.9
CUST004560,FELIPE CASSIANO,felipe.cassiano@webmail.com,35.0,MASCULINO,Caxias do Sul,rio grande do sul,14/10/2024,"R$ 3.950,00",6,1.900,3.2
CUST003375,RODRIGO BARBOSA,rodrigo.barbosa@email.com,48.0,masc,Brasília,Distrito Federal,28/06/2024,1.675,5,724,3.5
CUST000771,João Pedro Duarte,joao.pedro.duarte@correio.net,52.0,M,Ribeirão Preto,São Paulo,31/10/2021,4.818,11,"R$ 2.649,00",5.0
CUST002647,MARIA FLOR MACEDO, maria.flor.macedo@mail.com ,26.0,Fem,Porto Alegre,rs,2022/05/20,3.380,10,2473,4.3
CUST004136,SRTA. NINA RODRIGUES,srta..nina.rodrigues@mail.com,28.0,Feminino,Belo Horizonte,Minas Gerais,2024/06/17,2743,8,"R$ 1.703,00",4.2
CUST004789,CAMILA BRITO,camila.brito@mail.com,40.0,Feminino,Anápolis,go,2022-04-08,2648,5,798,4.3
CUST002841,Samuel Lopes,samuel.lopes@correio.net,43.0,male,Brasília,df,26-08-2022,,4,"R$ 983,00",3.2
