record_1,record_2,name_1,name_2,similarity_score,possible_duplicate
CUST002502,CUST000560,Eduardo Castro,Eduardo Castro,100.0,True
CUST003315,CUST000561,Eloah Silveira,Eloah Silveira,100.0,True
CUST002176,CUST005055,Dra. Bruna Abreu,Dra. Bruna Abreu,100.0,True
CUST003191,CUST005005,Davi Lucas Moraes,Davi Lucas Moraes,100.0,True
CUST004205,CUST000179,Diogo Alves,Diogo Alves,100.0,True
CUST003698,CUST004221,Dra. Valentina Da Luz,Dra. Valentina Da Luz,100.0,True
CUST000167,CUST005035,Dr. Yuri Cardoso,Dr. Yuri Cardoso,100.0,True
CUST001672,CUST000540,Emanuel Fonseca,Emanuel Fonseca,100.0,True
CUST004395,CUST003722,Emilly Marques,Emilly Marques,100.0,True
CUST004982,CUST003264,Gabrielly Das Neves,Gabrielly Das Neves,100.0,True
CUST004067,CUST003727,Gabriel Azevedo,Gabriel Azevedo,100.0,True
CUST004346,CUST004501,Heloísa Pires,Heloísa Pires,100.0,True
CUST000850,CUST001687,Hellena Jesus,Hellena Jesus,100.0,True
CUST000813,CUST005064,Gabrielly Silva,Gabrielly Silva,100.0,True
CUST001166,CUST002890,Gabriela Da Rocha,Gabriela Da Rocha,100.0,True
CUST002912,CUST002712,Gabriela Castro,Gabriela Castro,100.0,True
CUST000432,CUST004060,Gustavo Henrique Pastor,Gustavo Henrique Pastor,100.0,True
CUST004213,CUST005023,Giovanna Ferreira,Giovanna Ferreira,100.0,True
CUST004213,CUST002689,Giovanna Ferreira,Giovanna Ferreira,100.0,True
CUST001713,CUST001434,Gabrielly Sales,Gabrielly Sales,100.0,True
CUST002620,CUST004067,Gabriel Azevedo,Gabriel Azevedo,100.0,True
CUST002620,CUST003727,Gabriel Azevedo,Gabriel Azevedo,100.0,True
CUST005023,CUST002689,Giovanna Ferreira,Giovanna Ferreira,100.0,True
CUST002355,CUST004684,Guilherme Cavalcanti,Guilherme Cavalcanti,100.0,True
CUST002818,CUST000374,Fernando Cavalcante,Fernando Cavalcante,100.0,True
CUST002119,CUST004711,Felipe Castro,Felipe Castro,100.0,True
CUST001247,CUST003197,Felipe Duarte,Felipe Duarte,100.0,True
CUST002361,CUST005004,Gael Alves,Gael Alves,100.0,True
CUST003310,CUST001773,Guilherme Da Cruz,Guilherme Da Cruz,100.0,True
CUST000047,CUST001753,Manuela Camargo,Manuela Camargo,100.0,True
CUST002619,CUST003999,Maria Luísa Da Rocha,Maria Luísa Da Rocha,100.0,True
CUST001749,CUST000459,Mirella Guerra,Mirella Guerra,100.0,True
CUST003020,CUST003344,Melina Sousa,Melina Sousa,100.0,True
CUST002235,CUST005016,Melissa Costa,Melissa Costa,100.0,True
CUST000506,CUST000883,Maria Vitória Da Rocha,Maria Vitória Da Rocha,100.0,True
CUST000473,CUST002140,Marcela Novais,Marcela Novais,100.0,True
CUST000822,CUST003275,Manuella Sampaio,Manuella Sampaio,100.0,True
CUST004649,CUST001479,Matheus Cassiano,Matheus Cassiano,100.0,True
CUST003236,CUST005067,Maria Vitória Costela,Maria Vitória Costela,100.0,True
CUST000202,CUST000318,Maria Luísa Farias,Maria Luísa Farias,100.0,True
CUST004731,CUST002462,Maria Clara Aragão,Maria Clara Aragão,100.0,True
CUST002217,CUST004675,Maria Liz Pastor,Maria Liz Pastor,100.0,True
CUST001902,CUST000701,Isadora Castro,Isadora Castro,100.0,True
CUST003838,CUST004909,Isabel Cunha,Isabel Cunha,100.0,True
CUST003838,CUST004989,Isabel Cunha,Isabel Cunha,100.0,True
CUST004532,CUST005070,Isis Jesus,Isis Jesus,100.0,True
CUST003779,CUST000424,Isaac Fonseca,Isaac Fonseca,100.0,True
CUST003351,CUST000805,Isadora Rodrigues,Isadora Rodrigues,100.0,True
CUST005068,CUST004404,Isaque Silva,Isaque Silva,100.0,True
CUST003132,CUST002060,Isabel Peixoto,Isabel Peixoto,100.0,True
CUST004049,CUST005053,Isabella Oliveira,Isabella Oliveira,100.0,True
CUST004355,CUST001265,Isabela Ferreira,Isabela Ferreira,100.0,True
CUST000596,CUST005068,Isaque Silva,Isaque Silva,100.0,True
CUST000596,CUST004404,Isaque Silva,Isaque Silva,100.0,True
CUST003946,CUST004226,Igor Brito,Igor Brito,100.0,True
CUST004157,CUST002381,Isis Carvalho,Ísis Carvalho,100.0,True
CUST000458,CUST002610,Heloísa Jesus,Heloísa Jesus,100.0,True
CUST001077,CUST005028,Hadassa Monteiro,Hadassa Monteiro,100.0,True
CUST004341,CUST003327,Henrique Jesus,Henrique Jesus,100.0,True
CUST001215,CUST004952,Hadassa Cirino,Hadassa Cirino,100.0,True
CUST004368,CUST003879,Hadassa Dias,Hadassa Dias,100.0,True
CUST001205,CUST002585,Hellena Cardoso,Hellena Cardoso,100.0,True
CUST003162,CUST005045,Heloisa Sales,Heloisa Sales,100.0,True
CUST000698,CUST002785,Milena Da Cruz,Milena Da Cruz,100.0,True
CUST000875,CUST004329,Mateus Martins,Mateus Martins,100.0,True
CUST004509,CUST003941,Matteo Correia,Matteo Correia,100.0,True
CUST000391,CUST002259,Maria Câmara,Maria Câmara,100.0,True
CUST003109,CUST000208,Mariah Nascimento,Mariah Nascimento,100.0,True
CUST000988,CUST000889,Maria Cavalcante,Maria Cavalcante,100.0,True
CUST004733,CUST000542,Maitê Rocha,Maitê Rocha,100.0,True
CUST002477,CUST004413,Maria Eduarda Rocha,Maria Eduarda Rocha,100.0,True
CUST000352,CUST002026,Matheus Da Conceição,Matheus Da Conceição,100.0,True
CUST001662,CUST005011,Marcos Vinicius Rezende,Marcos Vinicius Rezende,100.0,True
CUST000960,CUST001087,Maria Cecília Da Cunha,Maria Cecília Da Cunha,100.0,True
CUST002540,CUST003053,Maria Luísa Porto,Maria Luísa Porto,100.0,True
CUST001143,CUST001461,Juliana Siqueira,Juliana Siqueira,100.0,True
CUST002271,CUST000180,Joaquim Melo,Joaquim Melo,100.0,True
CUST000590,CUST000197,João Pedro Da Costa,João Pedro Da Costa,100.0,True
CUST004331,CUST002748,João Guilherme Barros,João Guilherme Barros,100.0,True
CUST002305,CUST004800,João Pedro Machado,João Pedro Machado,100.0,True
CUST002784,CUST001792,João Da Costa,João Da Costa,100.0,True
CUST000194,CUST002328,João Guilherme Vargas,João Guilherme Vargas,100.0,True
CUST001556,CUST005050,Jade Abreu,Jade Abreu,100.0,True
CUST001200,CUST000154,José Pedro Cavalcanti,José Pedro Cavalcanti,100.0,True
CUST002218,CUST005060,Isabella Pinto,Isabella Pinto,100.0,True
CUST001811,CUST002206,Joana Fonseca,Joana Fonseca,100.0,True
CUST000970,CUST002282,João Vitor Sousa,João Vitor Sousa,100.0,True
CUST000249,CUST001757,Joaquim Sá,Joaquim Sá,100.0,True
CUST001883,CUST001274,Isis Garcia,Ísis Garcia,100.0,True
CUST004358,CUST004686,Isaac Costela,Isaac Costela,100.0,True
CUST000926,CUST001958,Isabella Nunes,Isabella Nunes,100.0,True
CUST004909,CUST004989,Isabel Cunha,Isabel Cunha,100.0,True
CUST004260,CUST001864,Isaque Moreira,Isaque Moreira,100.0,True
CUST001724,CUST004387,Ian Machado,Ian Machado,100.0,True
CUST004663,CUST004025,Maitê Ramos,Maitê Ramos,100.0,True
CUST001182,CUST001881,Matteo Barbosa,Matteo Barbosa,100.0,True
CUST004576,CUST005041,Matheus Farias,Matheus Farias,100.0,True
CUST004152,CUST003388,Matheus Lima,Matheus Lima,100.0,True
CUST001155,CUST004649,Matheus Cassiano,Matheus Cassiano,100.0,True
CUST001155,CUST001479,Matheus Cassiano,Matheus Cassiano,100.0,True
CUST002557,CUST001576,Marcelo Moraes,Marcelo Moraes,100.0,True
CUST003238,CUST002425,Marcelo Carvalho,Marcelo Carvalho,100.0,True
CUST000603,CUST001657,Mathias Melo,Mathias Melo,100.0,True
CUST001049,CUST001120,Maria Clara Nogueira,Maria Clara Nogueira,100.0,True
CUST004212,CUST001597,Luiz Henrique Montenegro,Luiz Henrique Montenegro,100.0,True
CUST000956,CUST002568,Liz Da Mata,Liz Da Mata,100.0,True
CUST001024,CUST005044,Letícia Pimenta,Letícia Pimenta,100.0,True
CUST001040,CUST002866,Maria Vitória Santos,Maria Vitória Santos,100.0,True
CUST003493,CUST001182,Matteo Barbosa,Matteo Barbosa,100.0,True
CUST003493,CUST001881,Matteo Barbosa,Matteo Barbosa,100.0,True
CUST001383,CUST004212,Luiz Henrique Montenegro,Luiz Henrique Montenegro,100.0,True
CUST001383,CUST001597,Luiz Henrique Montenegro,Luiz Henrique Montenegro,100.0,True
CUST000679,CUST000118,Liz Pimenta,Liz Pimenta,100.0,True
CUST003511,CUST005043,Liz Sales,Liz Sales,100.0,True
CUST002417,CUST002418,Luan Da Conceição,Luan Da Conceição,100.0,True
CUST004510,CUST000566,Luana Viana,Luana Viana,100.0,True
CUST003536,CUST005047,Letícia Fonseca,Letícia Fonseca,100.0,True
CUST003665,CUST004866,Lara Pereira,Lara Pereira,100.0,True
CUST003665,CUST005006,Lara Pereira,Lara Pereira,100.0,True
CUST001797,CUST001216,Lara Machado,Lara Machado,100.0,True
CUST001258,CUST005052,Juan Cardoso,Juan Cardoso,100.0,True
CUST004469,CUST001233,Josué Ribeiro,Josué Ribeiro,100.0,True
CUST002537,CUST002301,Kevin Melo,Kevin Melo,100.0,True
CUST001330,CUST003886,Kamilly Guerra,Kamilly Guerra,100.0,True
CUST002549,CUST000382,Kaique Porto,Kaique Porto,100.0,True
CUST001991,CUST001863,João Barros,João Barros,100.0,True
CUST004644,CUST001379,Juan Da Luz,Juan Da Luz,100.0,True
CUST003725,CUST004021,João Miguel Almeida,João Miguel Almeida,100.0,True
CUST004876,CUST002439,Josué Da Cruz,Josué Da Cruz,100.0,True
CUST002924,CUST002344,Juliana Cassiano,Juliana Cassiano,100.0,True
CUST004265,CUST005062,José Pedro Costa,José Pedro Costa,100.0,True
CUST000938,CUST004380,Juan Da Cruz,Juan Da Cruz,100.0,True
CUST002760,CUST002856,Josué Moreira,Josué Moreira,100.0,True
CUST004866,CUST005006,Lara Pereira,Lara Pereira,100.0,True
CUST002674,CUST003035,Liam Garcia,Liam Garcia,100.0,True
CUST003235,CUST000702,Luara Correia,Luara Correia,100.0,True
CUST003710,CUST005057,Luan Araújo,Luan Araújo,100.0,True
CUST004036,CUST004534,Lorenzo Sales,Lorenzo Sales,100.0,True
CUST004293,CUST002212,Luiz Fernando Pereira,Luiz Fernando Pereira,100.0,True
CUST004113,CUST001267,Lucas Gabriel Machado,Lucas Gabriel Machado,100.0,True
CUST000288,CUST000346,Letícia Pastor,Letícia Pastor,100.0,True
CUST004849,CUST001364,Leandro Silva,Leandro Silva,100.0,True
CUST001544,CUST002898,Luara Novaes,Luara Novaes,100.0,True
CUST003006,CUST002965,Larissa Cunha,Larissa Cunha,100.0,True
CUST004945,CUST005030,Letícia Oliveira,Letícia Oliveira,100.0,True
CUST002480,CUST000716,Laura Barbosa,Laura Barbosa,100.0,True
CUST002113,CUST000718,Lara Pinto,Lara Pinto,100.0,True
CUST002132,CUST004403,Luiz Gustavo Cardoso,Luiz Gustavo Cardoso,100.0,True
CUST000729,CUST000288,Letícia Pastor,Letícia Pastor,100.0,True
CUST000729,CUST000346,Letícia Pastor,Letícia Pastor,100.0,True
CUST003019,CUST002193,Lucca Nogueira,Lucca Nogueira,100.0,True
CUST002611,CUST003531,Luara Campos,Luara Campos,100.0,True
CUST002611,CUST001026,Luara Campos,Luara Campos,100.0,True
CUST003606,CUST001920,Laís Da Luz,Laís Da Luz,100.0,True
CUST004424,CUST005015,Luara Brito,Luara Brito,100.0,True
CUST003531,CUST001026,Luara Campos,Luara Campos,100.0,True
CUST004337,CUST003045,Luna Da Luz,Luna Da Luz,100.0,True
CUST000608,CUST002935,Lucas Gabriel Carvalho,Lucas Gabriel Carvalho,100.0,True
CUST003491,CUST003210,Lucca Lima,Lucca Lima,100.0,True
CUST004159,CUST004685,Lorena Barros,Lorena Barros,100.0,True
CUST004755,CUST000679,Liz Pimenta,Liz Pimenta,100.0,True
CUST004755,CUST000118,Liz Pimenta,Liz Pimenta,100.0,True
CUST000173,CUST004539,Luna Martins,Luna Martins,100.0,True
CUST002184,CUST004795,Luiza Vargas,Luiza Vargas,100.0,True
CUST002409,CUST003255,Larissa Costela,Larissa Costela,100.0,True
CUST003408,CUST004769,Laura Siqueira,Laura Siqueira,100.0,True
CUST002122,CUST004658,Lorenzo Freitas,Lorenzo Freitas,100.0,True
CUST004858,CUST004651,Luiz Felipe Ramos,Luiz Felipe Ramos,100.0,True
CUST001956,CUST004747,Luan Freitas,Luan Freitas,100.0,True
CUST004839,CUST000864,Lucas Ramos,Lucas Ramos,100.0,True
CUST002062,CUST003216,Luiz Henrique Barros,Luiz Henrique Barros,100.0,True
CUST001191,CUST000880,Levi Jesus,Levi Jesus,100.0,True
CUST000651,CUST001542,Laura Sales,Laura Sales,100.0,True
CUST002688,CUST001569,Vinícius Melo,Vinícius Melo,100.0,True
CUST004172,CUST001661,Yago Nunes,Yago Nunes,100.0,True
CUST003221,CUST004199,Yago Costa,Yago Costa,100.0,True
CUST002919,CUST003420,Ana Luiza Fernandes,Ana Luiza Fernandes,100.0,True
